"batting_team","PA_momentum_0","PA_momentum_1","Hits_momentum_0","Hits_momentum_1","Batting_Average_momentum_0","Batting_Average_momentum_1","BA_Difference"
"KC",3674,1080,872,312,0.237343494828525,0.288888888888889,0.0515453940603641
"MIN",3780,1093,910,308,0.240740740740741,0.281793229643184,0.0410524889024431
"MIL",3805,1096,925,309,0.243101182654402,0.281934306569343,0.0388331239149409
"HOU",3693,1185,952,350,0.257784998646087,0.29535864978903,0.0375736511429424
"TEX",3890,1060,906,285,0.232904884318766,0.268867924528302,0.0359630402095358
"TOR",3756,1048,895,287,0.23828541001065,0.273854961832061,0.0355695518214115
"DET",3877,1027,884,269,0.228011348981171,0.261927945472249,0.0339165964910783
"WSH",3781,1045,903,284,0.238825707484792,0.27177033492823,0.0329446274434373
"SD",3707,1138,949,326,0.256002158079309,0.286467486818981,0.0304653287396712
"SF",3847,1061,903,277,0.234728359760853,0.261074458058435,0.0263460982975828
"CLE",3681,980,854,250,0.232002173322467,0.255102040816327,0.0230998674938598
"NYY",3859,1086,937,288,0.24280901788028,0.265193370165746,0.022384352285466
"NYM",3772,1047,927,279,0.24575821845175,0.26647564469914,0.0207174262473907
"STL",3757,1122,935,301,0.248868778280543,0.268270944741533,0.01940216646099
"TB",3851,999,887,249,0.230329784471566,0.249249249249249,0.0189194647776834
"CHC",3835,1018,916,262,0.238852672750978,0.257367387033399,0.018514714282421
"AZ",3795,1147,986,319,0.259815546772069,0.278116826503923,0.0183012797318547
"COL",3820,1080,922,280,0.241361256544503,0.259259259259259,0.0178980027147566
"BAL",3924,1165,963,306,0.245412844036697,0.262660944206009,0.0172481001693114
"BOS",3859,1144,957,303,0.247991707696294,0.26486013986014,0.0168684321638455
"ATL",3767,1061,909,273,0.241306079108044,0.257304429783223,0.0159983506751799
"CIN",3785,942,854,227,0.225627476882431,0.240976645435244,0.0153491685528135
"OAK",3918,1046,917,258,0.234047983665135,0.246653919694073,0.0126059360289374
"CWS",3781,941,829,215,0.219254165564665,0.228480340063762,0.00922617449909652
"SEA",3877,960,877,226,0.22620582924942,0.235416666666667,0.00921083741724701
"MIA",3843,1092,944,276,0.245641425969295,0.252747252747253,0.0071058267779579
"PHI",3828,1137,998,296,0.260710553814002,0.260334212840809,-0.000376340973192946
"LAA",3856,996,900,227,0.233402489626556,0.227911646586345,-0.00549084304021064
"PIT",3805,1015,898,231,0.236005256241787,0.227586206896552,-0.00841904934523538
"LAD",3778,1111,977,277,0.258602435150873,0.249324932493249,-0.00927750265762417
