"batting_team","PA_momentum_0","PA_momentum_1","Hits_momentum_0","Hits_momentum_1","Batting_Average_momentum_0","Batting_Average_momentum_1","BA_Difference"
"MIN",3949,1141,948,314,0.240060774879716,0.275197195442594,0.0351364205628778
"HOU",3871,1081,926,293,0.239214673211057,0.27104532839963,0.0318306551885734
"PHI",3908,1192,981,335,0.251023541453429,0.281040268456376,0.030016727002947
"WSH",3856,1146,959,316,0.248703319502075,0.275741710296684,0.0270383907946094
"OAK",3991,992,875,244,0.219243297419193,0.245967741935484,0.0267244445162907
"LAD",3910,1164,985,322,0.251918158567775,0.276632302405498,0.0247141438377234
"BOS",3931,1174,989,324,0.251589926227423,0.275979557069847,0.0243896308424236
"MIL",4013,1028,930,263,0.231746822825816,0.255836575875486,0.0240897530496703
"TOR",3898,1193,1011,338,0.259363776295536,0.283319362950545,0.0239555866550086
"CHC",4058,1114,970,292,0.239034006899951,0.262118491921005,0.0230844850210547
"CWS",3986,1248,1033,351,0.259157049673858,0.28125,0.0220929503261415
"TEX",3978,1095,954,286,0.239819004524887,0.261187214611872,0.0213682100869853
"BAL",3935,1030,904,258,0.229733163913596,0.250485436893204,0.020752272979608
"STL",3890,1167,988,320,0.253984575835476,0.274207369323051,0.020222793487575
"SEA",3979,979,909,242,0.228449359135461,0.247191011235955,0.0187416521004939
"CIN",3983,1084,950,277,0.238513683153402,0.255535055350553,0.0170213721971515
"MIA",3894,1017,878,245,0.22547508988187,0.240904621435595,0.0154295315537253
"SD",3971,1073,955,274,0.240493578443717,0.255358807082945,0.0148652286392281
"COL",3999,1223,1037,334,0.259314828707177,0.273098937040065,0.0137841083328886
"DET",3975,1098,934,273,0.234968553459119,0.248633879781421,0.0136653263223013
"NYM",3940,1189,1027,322,0.260659898477157,0.270815811606392,0.0101559131292345
"LAA",3994,1065,949,257,0.237606409614422,0.24131455399061,0.00370814437618869
"SF",3944,1032,938,247,0.237829614604462,0.239341085271318,0.00151147066685536
"AZ",4037,998,935,232,0.231607629427793,0.232464929859719,0.000857300431926528
"ATL",3949,1170,1004,298,0.254241580146873,0.254700854700855,0.000459274553982036
"TB",3939,1084,957,263,0.242955064737243,0.242619926199262,-0.000335138537980978
"PIT",3999,1013,915,230,0.22880720180045,0.227048371174729,-0.00175883062572157
"NYY",3979,1086,986,257,0.247800955013823,0.236648250460405,-0.0111527045534174
"CLE",4054,1199,1036,291,0.255550074000987,0.242702251876564,-0.0128478221244229
"KC",3943,1093,984,250,0.249556175500888,0.228728270814273,-0.020827904686615
