"batting_team","PA_momentum_0","PA_momentum_1","Hits_momentum_0","Hits_momentum_1","Batting_Average_momentum_0","Batting_Average_momentum_1","BA_Difference"
"ATL",3805,1078,919,301,0.241524310118265,0.279220779220779,0.0376964691025138
"CLE",3827,1060,888,283,0.232035536974131,0.266981132075472,0.0349455951013405
"STL",3851,1107,931,303,0.241755388210854,0.273712737127371,0.0319573489165169
"MIN",3958,1088,937,290,0.236735725113694,0.266544117647059,0.029808392533365
"MIL",3960,981,906,253,0.228787878787879,0.257900101936799,0.0291122231489204
"COL",3858,1085,943,293,0.244427164333852,0.270046082949309,0.025618918615457
"WSH",3805,1121,977,316,0.25676741130092,0.281891168599465,0.0251237572985449
"SEA",3964,995,885,247,0.223259334006054,0.248241206030151,0.0249818720240963
"LAD",3983,1068,965,285,0.242279688676877,0.26685393258427,0.0245742439073929
"PIT",3865,1015,903,261,0.233635187580854,0.257142857142857,0.0235076695620033
"NYY",3854,1003,898,257,0.233004670472237,0.256231306081755,0.0232266356095181
"CIN",3887,1077,948,287,0.243889889374839,0.266480965645311,0.0225910762704718
"LAA",3986,1094,960,288,0.240842950326142,0.263254113345521,0.0224111630193795
"MIA",3928,1028,898,258,0.228615071283096,0.250972762645914,0.0223576913628187
"BOS",3862,1157,995,323,0.257638529259451,0.279170267934313,0.0215317386748618
"SF",3896,1093,960,292,0.246406570841889,0.26715462031107,0.0207480494691814
"CWS",3770,1080,957,294,0.253846153846154,0.272222222222222,0.0183760683760684
"SD",3954,1099,954,285,0.241274658573596,0.259326660600546,0.0180520020269496
"NYM",3799,1021,901,260,0.237167675704133,0.254652301665034,0.0174846259609016
"TOR",3811,1196,1005,334,0.263710312254002,0.279264214046823,0.0155539017928211
"AZ",4016,1050,936,258,0.233067729083665,0.245714285714286,0.0126465566306204
"HOU",3915,1234,1047,344,0.267432950191571,0.278768233387358,0.0113352831957873
"OAK",3832,1032,914,257,0.238517745302714,0.249031007751938,0.010513262449224
"DET",3840,1047,920,259,0.239583333333333,0.247373447946514,0.00779011461318049
"TB",3974,1110,963,276,0.242325113236034,0.248648648648649,0.00632353541261443
"TEX",3953,1039,923,249,0.233493549203137,0.239653512993263,0.0061599637901259
"KC",3859,1112,964,283,0.249805649131899,0.254496402877698,0.00469075374579841
"BAL",3957,1111,962,269,0.243113469800354,0.242124212421242,-0.00098925737911168
"CHC",3888,990,932,228,0.239711934156379,0.23030303030303,-0.00940890385334828
"PHI",3859,1019,956,226,0.247732573205494,0.221786064769382,-0.0259465084361119
