"batting_team","PA_momentum_0","PA_momentum_1","Hits_momentum_0","Hits_momentum_1","Batting_Average_momentum_0","Batting_Average_momentum_1","BA_Difference"
"CIN",3890,1075,941,306,0.241902313624679,0.284651162790698,0.042748849166019
"WSH",3792,1141,943,328,0.248681434599156,0.287467134092901,0.0387856994937449
"DET",3857,1061,896,285,0.232304900181488,0.26861451460886,0.0363096144273714
"PIT",3832,1028,895,277,0.233559498956159,0.269455252918288,0.0358957539621293
"CHC",3837,1111,964,313,0.251237946312223,0.281728172817282,0.0304902265050587
"TB",3799,1100,967,313,0.254540668596999,0.284545454545455,0.0300047859484553
"TOR",3857,1106,952,306,0.246823956442831,0.276672694394213,0.0298487379513822
"TEX",3863,1191,984,338,0.254724307533005,0.283795130142737,0.0290708226097318
"ATL",3828,1245,1041,367,0.271943573667712,0.294779116465863,0.0228355427981519
"CWS",3865,1060,898,270,0.232341526520052,0.254716981132075,0.0223754546120237
"BAL",3815,1134,959,310,0.251376146788991,0.27336860670194,0.0219924599129492
"KC",3798,1059,923,280,0.243022643496577,0.264400377714825,0.0213777342182482
"MIL",3826,1043,912,269,0.238369053842133,0.25790987535954,0.019540821517407
"NYY",3851,965,863,235,0.224097636977408,0.243523316062176,0.0194256790847677
"LAA",3843,1076,934,278,0.24303929221962,0.258364312267658,0.0153250200480379
"MIN",3873,1041,917,262,0.236767363800671,0.251681075888569,0.0149137120878974
"CLE",3820,1125,952,297,0.249214659685864,0.264,0.0147853403141361
"MIA",3722,1155,969,317,0.260343901128426,0.274458874458874,0.0141149733304489
"SF",3859,1018,910,253,0.23581238662866,0.24852652259332,0.01271413596466
"SEA",3861,1033,934,260,0.241906241906242,0.251694094869313,0.00978785296307075
"SD",3752,1054,922,268,0.245735607675906,0.25426944971537,0.00853384203946383
"OAK",3845,963,867,224,0.225487646293888,0.232606438213915,0.00711879192002668
"PHI",3857,1109,974,287,0.252527871402645,0.258791704238052,0.00626383283540777
"LAD",3851,1098,991,289,0.257335756946248,0.263205828779599,0.00587007183335153
"HOU",3828,1133,987,298,0.257836990595611,0.263018534863195,0.00518154426758377
"COL",3763,1099,942,279,0.250332181769864,0.253867151956324,0.00353497018645943
"BOS",3789,1161,990,298,0.261282660332542,0.256675279931094,-0.00460738040144765
"STL",3838,1106,966,273,0.251693590411673,0.246835443037975,-0.00485814737369802
"AZ",3768,1094,958,268,0.254246284501062,0.244972577696527,-0.00927370680453507
"NYM",3827,999,938,218,0.245100600992945,0.218218218218218,-0.0268823827747267
